Undergrade CGPA,IELTS/TOEFL,GRE,Conference Paper,Journal Paper,University Class
3.98,120,0,1,0,C
3.98,120,0,1,0,A
3.98,120,0,1,0,C
3.98,120,0,1,0,D
3.98,120,0,1,0,C
3.37,101,312,1,1,G
3.37,101,312,1,1,G
3.37,101,312,1,1,H
3.37,101,312,1,1,I
3.37,101,312,1,1,H
3.37,101,312,1,1,G
3.37,101,312,1,1,H
3.65,93,308,1,0,H
3.94,120,325,11,0,A
3.94,120,325,11,0,B
3.44,92,301,2,0,H
3.44,92,301,2,0,I
3.44,92,301,2,0,I
3.43,101,300,0,0,H
3.01,101,305,1,0,H
3.53,101,317,0,0,B
3.53,101,317,0,0,G
3.53,101,317,0,0,H
3.02,88,309,6,0,H
3.02,108,321,0,1,I
3.02,108,321,0,1,I
3.24,109,319,0,0,G
3.24,109,319,0,0,G
3.24,109,319,0,0,G
3.24,109,319,0,0,I
3.24,109,319,0,0,I
3.22,93,311,2,2,F
3.22,93,311,2,2,F
3.22,93,311,2,2,H
3.84,91,308,0,0,D
3.75,109,318,3,0,G
3.75,109,318,3,0,H
3.75,109,318,3,0,H
3.75,109,318,3,0,H
3.94,88,305,1,1,H
3.31,101,306,0,0,I
3.31,101,306,0,0,H
3.31,101,306,0,0,I
3.31,101,306,0,0,I
3.31,101,306,0,0,H
3.15,109,316,1,0,H
3.15,109,316,1,0,H
3.15,109,316,1,0,G
3.15,109,316,1,0,I
3.15,109,316,1,0,I
3.15,109,316,1,0,I
3.2,93,313,0,3,I
3.33,100,0,1,0,A
3.15,109,0,2,0,E
3.15,109,0,2,0,D
3.08,101,301,3,3,H
3.08,101,301,3,3,I
3.48,101,301,1,0,H
3.48,101,301,1,0,G
3.7,99,307,0,0,H
3.4,86,310,2,2,H
3.15,93,309,0,0,I
3.15,93,309,0,0,E
3.15,93,309,0,0,I
3.15,93,309,0,0,I
3.15,93,309,0,0,D
3.15,93,309,0,0,I
3.67,109,0,7,0,D
3.25,93,302,2,0,D
3.25,93,302,2,0,H
3.25,93,302,2,0,E
3.25,93,302,2,0,H
3.5,93,308,2,0,H
3.69,113,0,13,0,A
3.54,88,305,0,0,H
3.54,88,305,0,0,A
3.54,88,305,0,0,H
3.54,88,305,0,0,I
3.54,88,305,0,0,H
3.54,88,305,0,0,G
3.54,88,305,0,0,H
3.46,84,301,1,2,H
3.46,84,301,1,2,H
3.46,84,301,1,2,H
3.52,101,295,0,0,H
3.52,101,295,0,0,I
3.52,101,295,0,0,C
3.52,101,295,0,0,H
3.33,107,330,0,0,H
3.63,109,319,1,0,I
3.89,106,313,0,0,F
3.89,106,313,0,0,F
3.55,112,321,1,1,C
3.55,112,321,1,1,B
3.43,101,306,1,0,H
4,101,310,0,0,H
4,101,310,0,0,G
3.73,101,0,2,2,H
3.99,109,337,1,0,C
